date,SalesAmount,year,month,day,weekday,holiday1,holiday9,holiday5,holiday4,holiday2,holiday10,holiday3,holiday6,holiday7,holiday8,short_business_hour,day_temp,night_temp,day_weather,night_weather,event,web_traffic,training
2015-09-26,24515,2015,9,26,7,0,0,0,0,0,1,0,0,0,0,0,27,19,good,good,0,637,1
2015-10-19,12406,2015,10,19,2,0,0,0,0,0,0,0,0,0,0,0,26,12,good,good,0,278,1
2015-11-06,16685,2015,11,6,6,0,0,0,0,0,0,0,0,0,0,0,24,10,small_trouble,small_trouble,0,316,0
2015-09-28,14030,2015,9,28,2,0,0,0,0,0,0,0,0,0,0,0,29,20,good,good,0,371,1
2015-10-29,14692,2015,10,29,5,0,0,0,0,0,0,0,0,0,0,0,16,11,little_trouble,little_trouble,0,300,1
2015-09-14,11954,2015,9,14,2,0,0,0,0,0,0,0,0,0,0,0,26,16,good,good,0,282,0
2015-10-06,21726,2015,10,6,3,0,0,0,0,0,0,1,0,0,0,0,23,19,small_trouble,small_trouble,0,514,1
2015-10-31,29153,2015,10,31,7,0,0,0,0,0,0,0,0,0,0,0,16,8,fair,good,0,815,1
2015-10-16,15864,2015,10,16,6,0,0,0,0,0,0,0,0,0,0,0,28,14,good,good,0,370,1
2015-09-29,13093,2015,9,29,3,0,0,0,0,0,0,0,0,0,0,0,28,20,good,little_trouble,0,375,0
2015-09-30,20198,2015,9,30,4,0,0,0,0,0,0,0,0,0,0,0,25,18,little_trouble,little_trouble,0,486,0
2015-10-25,28627,2015,10,25,1,0,0,0,0,0,0,0,0,0,0,0,28,16,good,fair,0,575,1
2015-10-26,10419,2015,10,26,2,0,0,0,0,0,0,0,0,0,0,0,23,10,little_trouble,little_trouble,0,280,1
2015-10-04,7889,2015,10,4,1,0,0,0,0,0,0,1,0,0,0,0,26,17,good,little_trouble,0,514,1
2015-11-02,10402,2015,11,2,2,0,0,0,0,0,0,0,0,0,0,0,20,8,good,good,0,282,1
2015-11-04,13234,2015,11,4,4,0,0,0,0,0,0,0,0,0,0,0,20,14,good,good,0,268,1
2015-11-09,11305,2015,11,9,2,0,0,0,0,0,0,0,0,0,0,0,18,7,good,good,0,302,1
2015-09-20,27941,2015,9,20,1,0,0,0,0,0,0,0,0,0,0,0,28,18,good,good,0,691,1
2015-09-11,15630,2015,9,11,6,0,0,0,0,0,0,0,0,0,0,0,26,20,fair,little_trouble,0,364,1
2015-10-01,25603,2015,10,1,5,0,0,0,0,0,0,1,0,0,0,0,24,13,good,good,0,710,1
2015-09-16,12008,2015,9,16,4,0,0,0,0,0,0,0,0,0,0,0,29,18,good,good,0,306,1
2015-10-02,21808,2015,10,2,6,0,0,0,0,0,0,1,0,0,0,0,26,13,good,good,0,603,1
2015-10-24,23662,2015,10,24,7,0,0,0,0,0,0,0,0,0,0,0,27,15,good,good,0,513,1
2015-09-22,11396,2015,9,22,3,0,0,0,0,0,0,0,0,0,0,0,25,21,fair,good,0,284,1
2015-09-17,12953,2015,9,17,5,0,0,0,0,0,0,0,0,0,0,0,26,20,fair,little_trouble,0,328,1
2015-10-28,11890,2015,10,28,4,0,0,0,0,0,0,0,0,0,0,0,17,11,little_trouble,little_trouble,0,305,1
2015-10-05,20219,2015,10,5,2,0,0,0,0,0,0,1,0,0,0,0,23,18,little_trouble,little_trouble,0,523,1
2015-11-05,15912,2015,11,5,5,0,0,0,0,0,0,0,0,0,0,0,21,16,little_trouble,little_trouble,0,281,1
2015-09-13,30861,2015,9,13,1,0,0,0,0,0,0,0,0,0,0,0,26,17,good,good,0,549,1
2015-11-08,24333,2015,11,8,1,0,0,0,0,0,0,0,0,0,0,0,12,6,fair,good,0,589,1
2015-09-15,11074,2015,9,15,3,0,0,0,0,0,0,0,0,0,0,0,28,17,good,good,0,302,1
2015-10-11,27497,2015,10,11,1,0,0,0,0,0,0,0,0,0,0,0,25,13,good,good,0,682,1
2015-10-12,11140,2015,10,12,2,0,0,0,0,0,0,0,0,0,0,0,26,12,good,good,0,302,0
2015-10-13,9062,2015,10,13,3,0,0,0,0,0,0,0,0,0,0,0,26,12,good,good,0,325,1
2015-09-27,27735,2015,9,27,1,0,0,0,0,0,1,0,0,0,0,0,29,19,good,good,0,775,0
2015-10-14,12000,2015,10,14,4,0,0,0,0,0,0,0,0,0,0,0,26,13,good,good,0,324,1
2015-09-19,23637,2015,9,19,7,0,0,0,0,0,0,0,0,0,0,0,25,19,little_trouble,little_trouble,0,625,1
2015-10-15,13260,2015,10,15,5,0,0,0,0,0,0,0,0,0,0,0,28,14,good,good,0,335,1
2015-09-12,27502,2015,9,12,7,0,0,0,0,0,0,0,0,0,0,0,28,16,good,good,0,503,1
2015-10-17,26514,2015,10,17,7,0,0,0,0,0,0,0,0,0,0,0,28,14,good,good,0,505,1
2015-10-18,25722,2015,10,18,1,0,0,0,0,0,0,0,0,0,0,0,28,13,good,good,0,560,1
2015-10-20,12178,2015,10,20,3,0,0,0,0,0,0,0,0,0,0,0,27,13,good,good,0,297,1
2015-09-21,11362,2015,9,21,2,0,0,0,0,0,0,0,0,0,0,0,29,20,good,good,0,293,1
2015-10-21,16838,2015,10,21,4,0,0,0,0,0,0,0,0,0,0,0,26,14,good,good,0,297,1
2015-10-22,15250,2015,10,22,5,0,0,0,0,0,0,0,0,0,0,0,27,14,good,good,0,291,1
2015-10-23,14506,2015,10,23,6,0,0,0,0,0,0,0,0,0,0,0,26,14,good,good,0,335,0
2015-10-03,21325,2015,10,3,7,0,0,0,0,0,0,1,0,0,0,0,26,16,fair,fair,0,465,1
2015-10-27,11329,2015,10,27,3,0,0,0,0,0,0,0,0,0,0,0,19,9,good,good,0,297,0
2015-09-23,12922,2015,9,23,4,0,0,0,0,0,0,0,0,0,0,0,28,20,good,fair,0,301,1
